2015   1  0   6.1   1.1   2.8  568. 23 132.9
2015   1  1   4.8   0.2   2.8  585. 23 132.9
2015   1  2   4.3  -0.8   2.5  579. 23 132.9
2015   1  3   4.0   0.4   2.7  560. 10 132.9
2015   1  4   2.5  -0.1   2.8  554. 10 132.9
2015   1  5   2.7  -0.0   2.7  566. 10 132.9
2015   1  6   2.8  -0.2   2.9  560. 10 132.9
2015   1  7   2.9  -0.6   2.9  556. 10 132.9
2015   1  8   3.1  -1.3   2.6  531. 10 132.9
2015   1  9   3.2  -0.5   2.7  518. 10 132.9
2015   1 10   2.1   0.4   2.5  502. 10 132.9
2015   1 11   4.2  -0.4   2.1  480. 10 132.9
2015   1 12   4.2  -0.4   1.7  481. 13 132.9
2015   1 13   2.7   0.3   3.6  462. 13 132.9
2015   1 14   2.9  -0.0   4.3  464. 13 132.9
2015   1 15   4.0  -0.6   3.3  454. 13 132.9
2015   1 16   4.4  -0.3   3.5  455. 13 132.9
2015   1 17   4.7  -0.7   3.5  451. 13 132.9
2015   1 18   4.7  -1.2   4.1  446. 17 132.9
2015   1 19   3.3  -1.0   5.0  440. 17 132.9
2015   1 20   4.6  -0.4   5.5  433. 17 132.9
2015   1 21   3.8  -2.7   5.3  436. 23 132.9
2015   1 22   4.0  -3.3   5.3  442. 23 132.9
2015   1 23   4.2  -3.4   5.3  439. 23 132.9
2015   2  0   4.0  -2.2   4.9  433. 30 141.0
2015   2  1   3.3  -1.7   4.9  432. 30 141.0
2015   2  2   4.2  -2.5   4.3  433. 30 141.0
2015   2  3   3.9  -2.4   5.2  433. 10 141.0
2015   2  4   4.0  -1.9   5.5  430. 10 141.0
2015   2  5   4.0  -1.2   5.6  414. 10 141.0
2015   2  6   4.0  -1.2   5.5  415. 13 141.0
2015   2  7   6.3  -1.9   7.6  431. 13 141.0
2015   2  8   6.7   1.7   9.6  435. 13 141.0
2015   2  9   7.0   2.0  10.3  456. 17 141.0
2015   2 10   7.4   0.5  11.5  465. 17 141.0
2015   2 11   8.2   0.6  12.5  445. 17 141.0
2015   2 12   7.7  -2.6  13.6  433. 23 141.0
2015   2 13   6.8  -5.0  14.6  432. 23 141.0
2015   2 14   6.9   1.4  15.8  417. 23 141.0
2015   2 15   9.0   3.4  14.2  420. 23 141.0
2015   2 16  10.3   0.5  10.4  425. 23 141.0
2015   2 17   9.7  -5.0  10.9  412. 23 141.0
2015   2 18   9.3  -7.0  10.2  396. 30 141.0
2015   2 19   8.6  -7.5  10.9  386. 30 141.0
2015   2 20   7.5  -6.6  14.4  382. 30 141.0
2015   2 21   6.4  -4.2  18.5  383. 40 141.0
2015   2 22   7.7  -2.6  23.2  381. 40 141.0
2015   2 23   9.5  -3.8  28.3  378. 40 141.0
2015   3  0  10.1  -4.6  33.0  379. 47 143.8
2015   3  1  11.2  -2.1  20.3  382. 47 143.8
2015   3  2   8.5   4.6  13.2  429. 47 143.8
